ED_COUNTER,ED_AF3, ED_F7, ED_F3, ED_FC5, ED_T7,ED_P7, ED_O1, ED_O2, ED_P8, ED_T8, ED_FC6, ED_F4,ED_F8, ED_AF4,mix1,mix2
-4.227,"4,443.0768","4,104.6153","4,270.7691","4,198.4614","4,501.0255","4,126.6666","4,113.3332","4,320.5127","4,666.1537","4,289.7435","4,588.2050","4,395.8973","4,597.9486","4,331.7948",111.282,
-4.219,"4,445.1281","4,099.9999","4,271.2819","4,199.4871","4,488.7178","4,116.9230","4,109.2307","4,315.3845","4,665.1281","4,291.2819","4,583.5896","4,396.4101","4,593.3332","4,331.7948",113.333,
-4.211,"4,434.3589","4,086.6666","4,260.5127","4,197.4358","4,483.5896","4,089.7435","4,092.8204","4,299.4871","4,654.8717","4,290.7691","4,571.7948","4,383.0768","4,576.9230","4,315.8973",118.462,
-4.203,"4,450.2563","4,104.6153","4,273.8460","4,192.8204","4,500.5127","4,116.9230","4,107.1794","4,322.0512","4,668.7178","4,304.6153","4,596.4101","4,399.4871","4,601.5383","4,332.3076",117.949,
-4.195,"4,443.0768","4,097.9486","4,265.1281","4,194.8717","4,497.9486","4,117.9486","4,109.2307","4,323.0768","4,663.5896","4,291.7948","4,595.3845","4,396.4101","4,599.9999","4,331.2819",111.795,
-4.188,"4,433.3332","4,088.7178","4,258.9743","4,196.9230","4,498.4614","4,090.2563","4,100.5127","4,314.3589","4,656.9230","4,284.6153","4,577.4358","4,387.1794","4,582.5640","4,323.0768",110.256,
-4.180,"4,445.1281","4,103.5896","4,274.8717","4,196.9230","4,501.5384","4,104.6153","4,111.2820","4,327.1794","4,669.7435","4,297.4358","4,583.0768","4,396.9230","4,588.2050","4,333.3332",111.795,
-4.172,"4,448.7178","4,105.6409","4,273.8460","4,198.4614","4,487.1794","4,128.7178","4,116.4102","4,322.0512","4,671.2819","4,304.6153","4,590.2563","4,402.5640","4,593.3332","4,338.9743",109.744,
-4.164,"4,453.8460","4,103.5896","4,271.7948","4,196.9230","4,491.7948","4,118.9743","4,107.6922","4,313.8460","4,664.1025","4,304.6153","4,590.7691","4,410.2563","4,592.8204","4,343.5896",110.256,
-4.156,"4,452.3076","4,095.3845","4,272.8204","4,196.4102","4,499.9999","4,102.0512","4,099.9999","4,319.4871","4,657.4358","4,285.6409","4,579.9999","4,406.6666","4,579.4871","4,339.9999",112.308,
-4.148,"4,452.8204","4,096.4102","4,277.9486","4,198.4614","4,501.5384","4,114.8717","4,110.7691","4,331.2819","4,668.7178","4,286.6666","4,585.6409","4,405.6409","4,583.0768","4,341.5384",111.282,
-4.141,"4,454.3589","4,103.0768","4,277.9486","4,199.4871","4,501.0255","4,108.7178","4,107.6922","4,331.7948","4,674.8717","4,307.6922","4,594.8717","4,405.1281","4,589.2307","4,341.0255",113.333,
-4.133,"4,447.6922","4,097.9486","4,271.2819","4,195.8973","4,496.4101","4,090.2563","4,093.3332","4,322.0512","4,664.6153","4,303.0768","4,580.5127","4,396.9230","4,578.9742","4,330.2563",117.436,
-4.125,"4,459.9999","4,107.6922","4,283.0768","4,193.8461","4,502.0512","4,113.3332","4,109.2307","4,326.6666","4,673.8460","4,301.0255","4,588.2050","4,408.2050","4,591.7948","4,346.6666",113.333,
-4.117,"4,456.4101","4,105.1281","4,282.0512","4,200.5127","4,487.6922","4,118.9743","4,112.3076","4,321.0255","4,672.8204","4,299.9999","4,593.8460","4,408.2050","4,594.3589","4,349.7435",106.667,
-4.109,"4,444.6153","4,098.4614","4,274.8717","4,198.9743","4,482.0512","4,109.7435","4,102.5640","4,321.5384","4,668.7178","4,297.4358","4,591.7948","4,399.9999","4,586.6666","4,337.4358",107.180,
-4.102,"4,455.8973","4,114.8717","4,283.5896","4,190.2563","4,509.2307","4,123.0768","4,109.7435","4,335.3845","4,683.5896","4,307.6922","4,603.5896","4,407.6922","4,599.4871","4,344.6153",111.282,
-4.094,"4,449.7435","4,108.7178","4,273.8460","4,193.3332","4,509.7435","4,103.5896","4,103.0768","4,312.8204","4,667.1794","4,295.3845","4,592.3076","4,393.8460","4,592.8204","4,337.4358",112.308,
-4.086,"4,430.7691","4,089.2307","4,261.5384","4,199.4871","4,494.8717","4,071.7948","4,088.7178","4,284.1025","4,643.0768","4,274.8717","4,571.7948","4,376.4101","4,570.7691","4,322.5640",108.205,
-4.078,"4,429.2307","4,087.6922","4,264.1025","4,198.4614","4,485.6409","4,085.1281","4,087.6922","4,287.1794","4,644.1025","4,272.3076","4,566.6666","4,380.5127","4,567.1794","4,320.5127",108.718,
-4.070,"4,451.2819","4,109.2307","4,278.9743","4,194.3589","4,496.4101","4,122.0512","4,102.5640","4,312.8204","4,660.5127","4,291.2819","4,587.6922","4,399.4871","4,591.2819","4,339.9999",111.282,
-4.063,"4,463.0768","4,117.4358","4,285.6409","4,194.8717","4,514.3589","4,123.5896","4,110.2563","4,323.0768","4,668.2050","4,305.1281","4,603.5896","4,406.6666","4,606.1537","4,351.7948",111.282,
-4.055,"4,444.6153","4,098.9743","4,270.7691","4,196.4102","4,494.8717","4,097.9486","4,099.9999","4,299.9999","4,654.3589","4,286.6666","4,582.0512","4,390.2563","4,582.0512","4,332.8204",111.795,
